Parameters,LR,Val RMSE,Val MAE,Test RMSE,Val MAE
2019_24_12_60_8_0.1_128_30,0.01,0.1881,0.1578,0.1981,0.1708
2019_48_12_30_2_0.3_128_30,0.0158,0.0977,0.0766,0.0761,0.0595
2019_24_24_60_4_0.1_128_30,0.0079,0.0902,0.0725,0.0665,0.0533
2019_48_12_30_8_0.1_128_30,0.0141,0.1552,0.1255,0.1095,0.0945
2019_24_12_60_2_0.3_128_30,0.01,0.1158,0.0864,0.0964,0.0824
2019_48_12_60_4_0.3_128_30,0.0079,0.1213,0.0934,0.0903,0.077
2019_48_12_30_8_0.1_128_30,0.0141,0.1552,0.1255,0.1095,0.0945
2019_24_12_60_2_0.3_128_30,0.01,0.1158,0.0864,0.0964,0.0824
2019_48_12_60_2_0.1_128_30,0.0079,0.1106,0.0789,0.0771,0.0577
2019_24_12_60_2_0.3_128_30,0.01,0.1158,0.0864,0.0964,0.0824
2019_24_12_60_2_0.1_64_30,0.01,0.1766,0.1218,0.0666,0.0493
2019_48_12_10_4_0.3_128_30,0.0794,0.1665,0.1327,0.1144,0.0979
2019_48_12_60_8_0.1_128_30,0.0079,0.1514,0.1231,0.1089,0.0934
